Section,Page Title,Page Slug,Docs URL,Page Source (.md),OpenAPI / Spec Filename,OpenAPI / Spec Repo Path,Spec Resolve Status,operationId,HTTP Method,API Path,OpenAPI Version,Spec Title,Hidden,Deprecated,Spec File mtime (UTC),Spec Git Last Commit (ISO)
BBPS,Bill Fetch API,bill-fetch-api,https://docs.payu.in/reference/bill-fetch-api,reference/BBPS/bill-apis/bill-fetch-api.md,bbps-apis-agent-share-4.json,reference/bbps-apis-agent-share-4.json,found,BillFetchAPI,POST,/payu-nbc/v1/nbc/billfetchrequest,3.1.0,BBPS APIs Agent Share,FALSE,FALSE,2026-08-05T06:27:18.745515+00:00,2025-04-29T06:52:44+00:00
BBPS,Bill Payment API,bill-payment-api,https://docs.payu.in/reference/bill-payment-api,reference/BBPS/bill-apis/bill-payment-api.md,bbps-apis-agent-share-7.json,reference/bbps-apis-agent-share-7.json,found,BillPaymentAPI,POST,/payu-nbc-int/v1/nbc/billpaymentrequest,3.1.0,BBPS APIs Agent Share,FALSE,FALSE,2026-08-05T06:27:18.745515+00:00,2025-04-29T06:52:44+00:00
BBPS,Bill Validation API,bill-validation-api,https://docs.payu.in/reference/bill-validation-api,reference/BBPS/bill-apis/bill-validation-api.md,bbps-apis-agent-share-7.json,reference/bbps-apis-agent-share-7.json,found,BillValidationAPI,POST,/payu-nbc/v2/nbc/paymentValidation,3.1.0,BBPS APIs Agent Share,FALSE,FALSE,2026-08-05T06:27:18.745515+00:00,2025-04-29T06:52:44+00:00
BBPS,Biller Plans API,biller-plans-api,https://docs.payu.in/reference/biller-plans-api,reference/BBPS/biller-apis/biller-plans-api.md,bbps-apis-agent-share-5.json,reference/bbps-apis-agent-share-5.json,found,BillerPlansAPI,POST,/payu-nbc/v1/nbc/billerPlans,3.1.0,BBPS APIs Agent Share,FALSE,FALSE,2026-08-05T06:27:18.745515+00:00,2025-04-29T06:52:44+00:00
BBPS,Check Complaint Status API,check-complaint-status-api,https://docs.payu.in/reference/check-complaint-status-api,reference/BBPS/complaint-related-apis/check-complaint-status-api.md,bbps-apis-agent-share-3.json,reference/bbps-apis-agent-share-3.json,found,CheckComplaintStatus,POST,/payu-nbc/v1/nbc/checkComplaintStatus,3.1.0,BBPS APIs Agent Share,FALSE,FALSE,2026-08-05T06:27:18.745515+00:00,2026-01-20T12:18:19+00:00
BBPS,check-health-status-api,check-health-status-api,https://docs.payu.in/reference/check-health-status-api,reference/BBPS/check-health-status-api.md,bbps-apis-agent-share-8.json,reference/bbps-apis-agent-share-8.json,found,heartBeatAPI,POST,/payu-nbc/v1/nbc/heartBeat,3.1.0,BBPS APIs Agent Share,FALSE,,2026-08-05T06:27:18.745515+00:00,2026-06-28T09:16:39+00:00
BBPS,Get All Billers By Category API,get-all-billers-by-category-api,https://docs.payu.in/reference/get-all-billers-by-category-api,reference/BBPS/biller-apis/get-all-billers-by-category-api.md,bbps-apis-agent-share-3.json,reference/bbps-apis-agent-share-3.json,found,GetAllBillersByCategory,GET,/payu-nbc/v1/nbc/getBillerByBillerCategory,3.1.0,BBPS APIs Agent Share,FALSE,FALSE,2026-08-05T06:27:18.745515+00:00,2026-01-20T12:18:19+00:00
BBPS,Get All Billers By Region API,get-all-billers-by-region-api,https://docs.payu.in/reference/get-all-billers-by-region-api,reference/BBPS/biller-apis/get-all-billers-by-region-api.md,bbps-apis-agent-share-3.json,reference/bbps-apis-agent-share-3.json,found,GetAllBillersByRegion,GET,/payu-nbc/v1/nbc/getBillerByRegion,3.1.0,BBPS APIs Agent Share,FALSE,FALSE,2026-08-05T06:27:18.745515+00:00,2026-01-20T12:18:19+00:00
BBPS,Get All Region API,get-all-region-api,https://docs.payu.in/reference/get-all-region-api,reference/BBPS/biller-apis/get-all-region-api.md,bbps-apis-agent-share-3.json,reference/bbps-apis-agent-share-3.json,found,GetAllRegion,GET,/payu-nbc/v1/nbc/getRegions,3.1.0,BBPS APIs Agent Share,FALSE,FALSE,2026-08-05T06:27:18.745515+00:00,2026-01-20T12:18:19+00:00
BBPS,Get Biller Categories API,get-biller-categories-api,https://docs.payu.in/reference/get-biller-categories-api,reference/BBPS/biller-apis/get-biller-categories-api.md,bbps-apis-agent-share-3.json,reference/bbps-apis-agent-share-3.json,found,GetBillerCategories,GET,/payu-nbc/v1/nbc/getAllBillerCategory,3.1.0,BBPS APIs Agent Share,FALSE,FALSE,2026-08-05T06:27:18.745515+00:00,2026-01-20T12:18:19+00:00
BBPS,Get Circle List API,get-circle-list-api,https://docs.payu.in/reference/get-circle-list-api,reference/BBPS/bbps-prepaid-apis/get-circle-list-api.md,bbps-apis-agent-share-3.json,reference/bbps-apis-agent-share-3.json,found,GetCircleList,GET,/payu-nbc/v2/nbc/getCircleList,3.1.0,BBPS APIs Agent Share,FALSE,FALSE,2026-08-05T06:27:18.745515+00:00,2026-01-20T12:18:19+00:00
